訪問,施設名,番号&施設名,google map,住所,TEL,料金,利用時間,定休日ほか,家族湯（貸切湯）,泉質,最寄りバス停,最寄り駅,駐車場,その他,URL,温泉道URL,
,別府温泉 西鉄リゾートイン別府,第132番 西鉄リゾートイン別府,https://maps.app.goo.gl/Nf9CZj34YDzKWVTd6?g_st=com.google.maps.preview.copy,別府市北浜2－10－4,0977-26-5151,500円,15：00～17：00,,,炭酸水素塩泉,別府北浜　1分　北浜バスセンター　0分,,38台,,https://nnr-h.com/n-inn/beppu/,https://onsendo.beppu-navi.jp/y132/,
,別府温泉 湯けむりの里東屋,第133番 湯けむりの里東屋,https://maps.app.goo.gl/5T3gczFNBuZtkCEQ7?g_st=com.google.maps.preview.copy,別府市鉄輪上4,0977-27-7547,1000円,10:00〜16:00（要問合せ）,,,単純泉,鉄輪温泉東口　5分,,9台,,http://beppu-azumaya.com/,https://onsendo.beppu-navi.jp/y133/,
,別府温泉 絶景の宿さくら亭,第134番 絶景の宿さくら亭,https://maps.app.goo.gl/PnaKD1R38vq2H1F58?g_st=com.google.maps.preview.copy,別府市鉄輪1063－1,0977-27-6747,1000円,10:00〜16:00（要問合せ）R6年４月26日まで立ち寄り湯休止。,,,塩化物泉,鉄輪温泉東口　5分,,20台,,http://beppu-sakuratei.com/,https://onsendo.beppu-navi.jp/y134/,
,別府温泉 山田温泉,第138番 山田温泉,https://maps.app.goo.gl/fdhg4QrekeejfhJw8?g_st=com.google.maps.preview.copy,別府市朝見1丁目12-9,なし,100円,6:00～9：00／11：00～23:00,なし,,単純温泉,御幸橋 6分,別府駅15分,なし,,,https://onsendo.beppu-navi.jp/y138/,
,別府温泉 東町温泉,第139番 東町温泉,https://maps.app.goo.gl/bCWP79R15NMxMkur9?g_st=com.google.maps.preview.copy,別府市浜脇1丁目16-1,0977-21-1267,200円,5：30〜受付22:30,なし,,単純温泉,湯都ピア浜脇 5分,東別府駅　1分,5台,,,https://onsendo.beppu-navi.jp/y139/,
,別府温泉 八幡温泉,第140番 八幡温泉,https://maps.app.goo.gl/LZLk1bMZDgB6njnc7?g_st=com.google.maps.preview.copy,別府市朝見1丁目17-12,なし,200円,6:00〜11:30／15:00〜22:30,なし,,単純温泉,御幸橋 4分,別府駅15分,1台,,,https://onsendo.beppu-navi.jp/y140/,
,別府温泉 茶房たかさきの湯,第141番 茶房たかさきの湯,https://maps.app.goo.gl/KV5Hp4r58SXdufT88?g_st=com.google.maps.preview.copy,別府市朝見1丁目2-11,0977-23-0592,喫茶を利用した方のみ,10:00〜15:30 （15時ｵｰﾀﾞｰｽﾄｯﾌﾟ）,火・水曜　12/31～1/3,,単純温泉,御幸橋 5分,別府駅15分,5台,,,https://onsendo.beppu-navi.jp/y141/,
,別府温泉 鉄輪すじ湯温泉,第142番 鉄輪すじ湯温泉,https://maps.app.goo.gl/RAdUP7hTKKBahiVh7?g_st=com.google.maps.preview.copy,別府市鉄輪井田4,なし,100円,6:30〜20：00,なし,,塩化物泉,鉄輪温泉　1分,,なし,,,https://onsendo.beppu-navi.jp/y142/,
,別府温泉 谷の湯,第143番 谷の湯,https://maps.app.goo.gl/4y2yjKRZcwh2oXaY6?g_st=com.google.maps.preview.copy,別府市北中1組,なし,150円,6:30〜21:30,なし,,塩化物泉,鉄輪 4分,なし,10台,,,https://onsendo.beppu-navi.jp/y143/,
,別府温泉 海地獄足湯,第148番 海地獄足湯,https://maps.app.goo.gl/Xu7oypW1yPyqTFhs5?g_st=com.google.maps.preview.copy,別府市鉄輪559-1,0977-66-0121,450円（施設入場料）,8:00〜17:00,なし,,塩化物泉,海地獄前 1分,なし,200台,,http://www.umijigoku.co.jp/,https://onsendo.beppu-navi.jp/y148/,
,別府温泉 鬼石坊主地獄足湯,第149番 鬼石坊主地獄足湯,https://maps.app.goo.gl/skC8PXv2phQLd6fT8?g_st=com.google.maps.preview.copy,別府市鉄輪559-1,0977-27-6655,450円（施設入場料）,8:00〜17:00,なし,,塩化物泉,海地獄前 1分,なし,40台,,https://oniishi.com/,https://onsendo.beppu-navi.jp/y149/,
,別府温泉 もと湯の宿黒田や,第152番 もと湯の宿黒田や,https://maps.app.goo.gl/ZTToGwa1YBCQ98za9?g_st=com.google.maps.preview.copy,別府市鶴見676-2,0977-66-9656,500円　休前日700円,11:00〜23：00最終受付22:00木曜（男性）、金曜（女性）15:00～,,,塩化物泉,鉄輪　5分,,30台,,https://www.kurodaya.info/,https://onsendo.beppu-navi.jp/y152/,
,別府温泉 血の池地獄足湯,第153番 血の池地獄足湯,https://maps.app.goo.gl/jX5xQhNEX2KSGTK49?g_st=com.google.maps.preview.copy,別府市野田4-2,0977-66-1191,450円（施設入場料）,8:00〜17:00,,,含鉄泉,血の池地獄前　5分,なし,150台,,https://chinoike.com/,https://onsendo.beppu-navi.jp/y153/,
,別府温泉 奥みょうばん山荘,第154番 奥みょうばん山荘,https://maps.app.goo.gl/2fxtzxRWiRxvUzWz5?g_st=com.google.maps.preview.copy,別府市湯山1組,0977-67-2229,550円※貸切1時間1名あたり,10:00〜受付20:00,火曜日※祝日・繁忙期は営業※2023年6/19(月)～7/7(金)は長期休業,2,硫黄泉,湯山 7分,なし,10台,,https://okumyouban.kakurezato.com/,https://onsendo.beppu-navi.jp/y154/,
,別府温泉 かんなわゆの香,第155番 かんなわゆの香,https://maps.app.goo.gl/KpX76HuWFDZLvxsi7?g_st=com.google.maps.preview.copy,別府市御幸4,0977-67-2682,1泊２食　１万2000円～,IN15:00〜OUT10:00,なし,3棟あり,塩化物泉,鉄輪 1分,なし,12台,,https://www.kannawa-yunoka.com/,https://onsendo.beppu-navi.jp/y155/,
,別府温泉 おかたの湯,第157番 おかたの湯,https://maps.app.goo.gl/3GgngX9MSe1nSV91A?g_st=com.google.maps.preview.copy,別府市竹の内5組,0977-22-4126,貸切湯1500円～,11:00〜受付22:00土・日曜・祝日9:00〜受付22:00,不定休,10　部屋,単純温泉,「今井」または「扇山団地」　5分,なし,20台,,https://okatanoyu.com/,https://onsendo.beppu-navi.jp/y157/,
,別府温泉 城島高原パーク展望足湯花草香,第158番 城島高原パーク展望足湯花草香,https://maps.app.goo.gl/mYwcrssGSfSPauRN9?g_st=com.google.maps.preview.copy,別府市城島高原123,0977-22-1165,1500円（施設入園料）,10:00〜16:00（季節・曜日よって異なる。休園日あり）,,なし,単純温泉,城島高原パーク 3分,なし,2000台(1台300円),,https://www.kijimakogen-park.jp/,https://onsendo.beppu-navi.jp/y158/,
,別府温泉 幸温泉,第159番 幸温泉,https://maps.app.goo.gl/CSJTqegVE9pSZJbZ7?g_st=com.google.maps.preview.copy,別府市幸町5-15,0977-21-8151,100円※R6年８月１日から200円,6:30〜11:00／14:00〜23:00,毎月10日,なし,単純温泉,幸通り　３分,幸通り　3分,5台,,,https://onsendo.beppu-navi.jp/y159/,
,別府温泉 豊前屋旅館,第161番 豊前屋旅館,https://maps.app.goo.gl/4GfFLyTcEG2Nev7A9?g_st=com.google.maps.preview.copy,別府市明礬2組,0977-66-0537,500円,10:00〜16:00,なし,家族湯はないが貸切利用は可能,硫黄泉,地蔵湯前,なし,5台,,http://www.buzenya.net/,https://onsendo.beppu-navi.jp/y161/,
,別府温泉 朝見温泉,第162番 朝見温泉,https://maps.app.goo.gl/LrnXDEnxZop4KBGM6?g_st=com.google.maps.preview.copy,別府市朝見2丁目3-25,なし,100円,6:00〜12:00／14:00〜23:00日曜、祝日7:00～12：00/14：00～22:00,年末年始,なし,単純温泉,御幸橋　4分,別府駅15分,なし,,,https://onsendo.beppu-navi.jp/y162/,
,別府温泉 蓮田温泉,第163番 蓮田温泉,https://maps.app.goo.gl/AL8Bp8yjKbyg9W9AA?g_st=com.google.maps.preview.copy,別府市浜脇3丁目3-6,なし,200円,7：00～22：00,なし,なし,単純温泉,永石６丁目　５分,なし,なし,,,https://onsendo.beppu-navi.jp/y163/,
,別府温泉 東蓮田温泉,第164番 東蓮田温泉,https://maps.app.goo.gl/fpx3d9yyW5sUGXzS8?g_st=com.google.maps.preview.copy,別府市浜脇3丁目2-27,090-9659-9080,200円,7:00〜受付22:30,なし,なし,単純温泉,南町　5分,東別府駅10分,なし,,,https://onsendo.beppu-navi.jp/y164/,
,別府温泉 祇園温泉,第168番 祇園温泉,https://maps.app.goo.gl/91C9ji4Ydcw66A1A9?g_st=com.google.maps.preview.copy,別府市朝見3丁目9-5,なし,100円,6:00～11:00／13:00～23：00第1～第4日曜6:00～23：00,なし,なし,単純温泉,流川16丁目 8分,なし,2台,,,https://onsendo.beppu-navi.jp/y168/,
,別府温泉 別府ラクテンチ,第171番 別府ラクテンチ,https://maps.app.goo.gl/u7aFDiFc3WftRQgT6?g_st=com.google.maps.preview.copy,別府市乙原２組,0977-85-8888,1300円(施設入園料),9：30～16：00(最終受付15：00),火曜※祝日の場合営業、翌日休み長期休暇は営業、冬季休園あり,,塩化物泉,流川12丁目　10分,なし,700台(300円),,https://rakutenchi.jp/,https://onsendo.beppu-navi.jp/y171/,
,別府温泉 上原温泉,第173番 上原温泉,https://maps.app.goo.gl/QTCj7Fqqrai2j8nC9?g_st=com.google.maps.preview.copy,別府市上原町1-13,なし,100円,6:00～12:00／14:00～22:00,なし,有(500円),単純温泉,上原町　２分,別府駅徒歩20分,２～３台,,,https://onsendo.beppu-navi.jp/y173/,
,別府温泉 餅ヶ浜温泉,第174番 餅ヶ浜温泉,https://maps.app.goo.gl/vzQRrYo2jqQosrtA8?g_st=com.google.maps.preview.copy,別府市若草町3－21,なし,100円,6:30～22:00,第３水曜日,なし,炭酸水素塩泉,餅ヶ浜　3分,別府駅18分,なし,,,https://onsendo.beppu-navi.jp/y174/,
,別府温泉 陽だまり温泉花の湯,第175番 陽だまり温泉花の湯,https://maps.app.goo.gl/CH6GpWMUWdYN9WvS8?g_st=com.google.maps.preview.copy,別府市竹の内町2-2,0977-21-8778,貸切1800円※平日10:00～17:001名の場合は600円,10:00～23:00,なし,8室,塩化物泉,今井　1分,なし,15台,,http://www.hana-no-yu.com/,https://onsendo.beppu-navi.jp/y175/,
,別府温泉 かまど地獄足湯,第176番 かまど地獄足湯,https://maps.app.goo.gl/Rut6aYwgLp6esnmn9?g_st=com.google.maps.preview.copy,別府市御幸5組の2,0977-66-0178,450円（施設入場料）,8:00～17:00,なし,,塩化物泉,海地獄前　2分,なし,13台,,https://kamadojigoku.com/,https://onsendo.beppu-navi.jp/y176/,
,別府温泉 北的ヶ浜町温泉（的ヶ浜温泉）,第177番 北的ヶ浜町温泉（的ヶ浜温泉）,https://maps.app.goo.gl/U5tQFeeFJM6CD7gy7?g_st=com.google.maps.preview.copy,別府市北的ヶ浜町3-35,なし,100円,6:30～22:00,第１・第３日曜,なし,炭酸水素塩泉,的ヶ浜公園前　5分,別府駅徒歩１０分,なし,,,https://onsendo.beppu-navi.jp/y177/,
,別府温泉 桜湯,第179番 桜湯,https://maps.app.goo.gl/sTuCad7grdJRFE4j7?g_st=com.google.maps.preview.copy,別府市堀田4-2,0977-25-8431,500円土・日曜、祝日　700円,平日11:00～23：00（最終受付22：00）土・日曜、祝日10：00～23：00（最終受付22：00）,なし,"20室　家族湯料金60分（平日90分）2,000円～3,000円平日11:00～24：00（最終受付23：00）土・日曜、祝日10：00～25：00（最終受付24：00）",炭酸水素塩泉,坂の平向井病院前　5分,なし,60台,,https://www.sakurayu.net/,https://onsendo.beppu-navi.jp/y179/,
,別府温泉 此花温泉,第180番 此花温泉,https://maps.app.goo.gl/Wc99UmsiR7atdosH7?g_st=com.google.maps.preview.copy,別府市光町７番５号,なし,100円,6:30～12:00／14:00～22:00,なし,なし,単純温泉,流川8丁目　5分,別府駅徒歩10～15分,なし,,,https://onsendo.beppu-navi.jp/y180/,
,別府温泉 南的ヶ浜温泉,第181番 南的ヶ浜温泉,https://maps.app.goo.gl/oWi6giWGgoDQCbLm6?g_st=com.google.maps.preview.copy,別府市南的ヶ浜町4-8,なし,200円,10:00～22:00,第1・3日曜日,なし,塩化物泉,的ヶ浜公園前　5分,別府駅徒歩７分,なし,,,https://onsendo.beppu-navi.jp/y181/,
,別府温泉 美湯の宿両築別邸,第182番 美湯の宿両築別邸,https://maps.app.goo.gl/ZCgVwp1JcwYYfft78?g_st=com.google.maps.preview.copy,別府市観海寺３組,0977-26-0022,660円,11:30〜14:30,,有り,単純温泉,鶴海寺橋入口　15分,,30台,,https://www.ryoutiku.com/,https://onsendo.beppu-navi.jp/y182/,
,別府温泉 別府おぐら,第183番 別府おぐら,https://maps.app.goo.gl/tDpNieTpoGa12S3R8?g_st=com.google.maps.preview.copy,別府市小倉1-3,0977-21-6123,貸切湯1500円〜※3名まで,10:30〜21:00（15:00〜18:00は宿泊客優先）,,,単純温泉,本坊主　10分　ゴルフ場入り口　5分,,30台,,,https://www.beppu-ogura.com/,https://onsendo.beppu-navi.jp/y183/
,別府温泉 若草温泉,第184番 若草温泉,https://maps.app.goo.gl/dg2Yvp35PNTZ1gB38?g_st=com.google.maps.preview.copy,別府市若草町9-37,なし,100円,6:00〜22:30※毎月15日13：00～16：00入浴不可※2024年7月14日（日）12月1日（日）2025年３月30日（日）10:00～14:00泉源清掃のため入浴不可,不定休,なし,炭酸水素塩泉,なし,餅ヶ浜　　京町　5分,なし,,,https://onsendo.beppu-navi.jp/y184/,
,別府温泉 和の宿夢月,第188番 和の宿夢月,https://maps.app.goo.gl/M2ERggVYhECxDmFW7?g_st=com.google.maps.preview.copy,別府市小倉３組,0977-27－2888,1000円,10：00～16：00（要問合せ）,不定,あり,単純温泉,本坊主　5分,なし,40台,,http://beppu-mutsuki.com/,https://onsendo.beppu-navi.jp/y188/,
,別府温泉 癒しの宿彩葉,第190番 癒しの宿彩葉,https://maps.app.goo.gl/A5GXzfjUJPAabsU9A?g_st=com.google.maps.preview.copy,別府市鉄輪上6組,0977-67-1680,1000円,10：00～16：00（要問合せ）,不定　要問合せ,なし,硫酸塩泉,鉄輪　3分,なし,15台,,http://beppu-iroha.com/,https://onsendo.beppu-navi.jp/y190/,
,別府温泉 大和温泉,第191番 大和温泉,https://maps.app.goo.gl/Wrtj5utPQ5VA7D1q8?g_st=com.google.maps.preview.copy,別府市野口元町9-15,0977-24-0014,200円,(5～10月)6：00～11：50、13：00～22：50(11～4月)6：30～11：50、13：00～22：50,なし,なし,単純温泉,富士見4丁目　3分,別府駅徒歩５分,なし,,,https://onsendo.beppu-navi.jp/y191/,
,別府温泉 ホテルソラージュ大分・日出,第192番 ホテルソラージュ大分・日出,https://maps.app.goo.gl/oCXM5GTmsqZfpsVdA?g_st=com.google.maps.preview.copy,別府市速見郡日出町大神7505,0977-72－1800,650円,月・水～金曜、日曜、祝日11:00～22:00(受付21:00)、土曜・休前日11:00～19:00(受付18:00)、火曜16:00～22:00(受付21:00),なし,,塩化物泉,,,200台,,https://www.solage.jp/,https://onsendo.beppu-navi.jp/y192/,
,別府温泉 立ち寄り湯夢幻の里春夏秋冬,第193番 立ち寄り湯夢幻の里春夏秋冬,https://maps.app.goo.gl/ePdq9cxB6Z9eAG2N7?g_st=com.google.maps.preview.copy,別府市堀田６組,0977-25-1126,700円,10：00～17:00（要問合せ),不定休　全露天のため天候不順な場合はお休み,４室,硫黄泉,堀田より徒歩１５分,なし,15台,,http://mugen-no-sato.com/,https://onsendo.beppu-navi.jp/y193/,
,別府温泉 ホテルシーウェーブ別府熊八の湯,第196番 ホテルシーウェーブ別府熊八の湯,https://maps.app.goo.gl/fzPyUhu3v3ASR6UJ9?g_st=com.google.maps.preview.copy,別府市駅前町12-8,0977-27-1311,大人500円,6:00 ～10:00～16：00～深夜0：00,なし,なし,炭酸水素塩泉,駅前本町　1分,別府駅徒歩１分,50台（宿泊者優先）,露天風呂は日替わりで男女いづれか利用可,http://www.beppuonsen.com/,https://onsendo.beppu-navi.jp/y196/,
,別府温泉 明礬地獄の足湯,第197番 明礬地獄の足湯,https://maps.app.goo.gl/epGm17SQEoasP9PWA?g_st=com.google.maps.preview.copy,別府市明礬１組,なし,200円（施設入場料）,8：30～17：30,なし,なし,硫黄泉、酸性泉,地蔵湯前　0分,なし,岡本屋売店Pを利用,,,https://onsendo.beppu-navi.jp/y197/,
,別府温泉 別府のお宿加賀屋,第198番 別府のお宿加賀屋,https://maps.app.goo.gl/NaXERPtU1M7Q4K7A8?g_st=com.google.maps.preview.copy,別府市北浜3丁目12-14,0977-75-7224,500円,11：00～16：00（要問合せ）,なし,３室,炭酸水素塩泉,別府北浜　2分　北浜バスセンター　1分,別府駅徒歩１０分,3台,,http://www.beppu-kagaya.com/,https://onsendo.beppu-navi.jp/y198/,
,別府温泉 前田温泉,第199番 前田温泉,https://maps.app.goo.gl/dtUiiSZm57RTAvw99?g_st=com.google.maps.preview.copy,別府市上人本町1-21,なし,200円,8：00～20:00,不定,なし,塩化物泉,別大駅前　５分,別府大学駅徒歩５分,なし,,,https://onsendo.beppu-navi.jp/y199/,
,別府温泉 地熱観光ラボ縁間,第201番 地熱観光ラボ縁間,https://maps.app.goo.gl/ZYFcZwYgrheBdzZw8?g_st=com.google.maps.preview.copy,別府市風呂本228-1,0977-75-9592,足湯無料※食事または家族湯利用の方のみ,10:00～22:00要確認,12月31日,家族湯２５００円（60分）,塩化物泉,鉄輪　3分,なし,６台,,https://enma-ch.com/,https://onsendo.beppu-navi.jp/y201/,
,別府温泉 湯山の里和さび人,第203番 湯山の里和さび人,https://maps.app.goo.gl/9wqbfCyqvJLwhNMW9?g_st=com.google.maps.preview.copy,別府市湯山2組,0977-85-8824,3000円,9:00～17：30,木曜日,1室,硫黄泉,湯山　７分,なし,4台,,https://wasabijin.com/,https://onsendo.beppu-navi.jp/y203/,
,別府温泉 大分空港足湯,第204番 大分空港足湯,https://maps.app.goo.gl/ymtpqu37w3E1Y1i76?g_st=com.google.maps.preview.copy,別府市国東市安岐町下原13番地,0978-67-2015,無料,9:00～19:00,なし,なし,単純温泉,,なし,770台,,https://www.oita-airport.jp/,https://onsendo.beppu-navi.jp/y204/,
,別府温泉 入江温泉,第206番 入江温泉,https://maps.app.goo.gl/b8iJ7BEn18kkW21Z6?g_st=com.google.maps.preview.copy,別府市浜田町5-8,なし,200円,(10～3月)7:00〜10:00、12:00〜22:00　　(4～9月)6:00〜10:00、12:00〜22:00,なし,なし,塩化物泉,古市入江橋前,亀川駅　6分,5台,,,https://onsendo.beppu-navi.jp/y206/,
,別府温泉 向原温泉,第207番 向原温泉,https://maps.app.goo.gl/uRg6W2Ei4gomVPes8?g_st=com.google.maps.preview.copy,別府市南立石2区6組,なし,150円,6：00～9：00/11：00～22：00,なし,,単純温泉,生目神社前　2分,なし,3台,,,https://onsendo.beppu-navi.jp/y207/,
,別府温泉 平田温泉,第208番 平田温泉,https://maps.app.goo.gl/ATGwHZgU17YXqtjU7?g_st=com.google.maps.preview.copy,別府市照波園町11-36,なし,200円,7:00〜9:00、15:00〜21:50,月曜,なし,単純温泉,平田　４分,,なし,,,https://onsendo.beppu-navi.jp/y208/,
,別府温泉 日本旅館松亀荘,第210番 日本旅館松亀荘,https://maps.app.goo.gl/XuH1YAHruJhzDkPC7?g_st=com.google.maps.preview.copy,別府市北浜2-12-21,080-5256-3862,500円,9:00〜20:00,火曜,有り（1時間１組1000円）,炭酸水素塩泉,別府北浜　２分,別府駅10分,公共P利用,,http://www.matsukiso.com/index.html?id=sec2,https://onsendo.beppu-navi.jp/y210/,
,別府温泉 cotake,第211番 cotake,https://maps.app.goo.gl/GnvicvL8ywoJaQaJ9?g_st=com.google.maps.preview.copy,別府市弓ヶ浜町2-28,0977-51-4396,2000円（貸切湯60分）,10:00～17:00（最終受付15:30）※要予約,日曜,貸切湯のみ,塩化物泉,富士見３丁目5分、的ヶ浜公園前10分,別府駅10分,2台,,http://www.cotake-beppu.com/,https://onsendo.beppu-navi.jp/y211/,
,別府温泉 富士見温泉,第212番 富士見温泉,https://maps.app.goo.gl/2cqN4gEexNkcuFRk9?g_st=com.google.maps.preview.copy,別府市富士見町1-16,0977-23-4851,100円,6:00～11:00、14:00～23:00,毎月15日,なし,単純温泉,富士見4丁目,別府駅10分 2分,2台,,,https://onsendo.beppu-navi.jp/y212/,
,別府温泉 大分香りの博物館ハーブガーデン足湯,第214番 大分香りの博物館ハーブガーデン足湯,https://maps.app.goo.gl/tq3FoXqJ6HtdQupT9?g_st=com.google.maps.preview.copy,別府市北石垣48-1,0977-27-7272,無料※博物館入館者、ミュージアムショップ、カフェ・サ・サンボン利用者に限る,10:00～16:30,12/31、1/1～1/３　　雨天時要問合せ,なし,単純温泉,大石・大分香りの博物館前,別府大学駅(12分),約20台,,http://oita-kaori.jp/,https://onsendo.beppu-navi.jp/y214/,
,別府温泉 温活サロンKAJU,第215番 温活サロンKAJU,https://maps.app.goo.gl/77hMjDr6DjDrqAqg6?g_st=com.google.maps.preview.copy,別府市上原町8-18,0977-51-5886,4400円,10：00～18：00　（完全予約）,水曜ほか・不定休あり,,単純温泉,上原町,別府駅15分,４台,完全予約制　１回の入浴時間15分～20分　シャワーあり,https://onkatukaju.com/,https://onsendo.beppu-navi.jp/y215/,
,別府温泉 サンライン別府,第216番 サンライン別府,https://maps.app.goo.gl/69SmFxdz6RUNBJkZ9?g_st=com.google.maps.preview.copy,別府市北浜2-12-9,0977-26-1155,300円,16：00～22：00,不定,あり（1000円/１時間）※要問合せ,炭酸水素塩泉,別府北浜、北浜バスセンター　２分,別府駅10分,10台※要問合せ貸切湯等の利用に関しては宿泊客優先でご案内させていただきますので、立ち寄り湯利用の方はお問い合わせください。基本的には近隣のコインパーキング等をご利用ください。,,https://sunlinebeppu.com/onsen/,https://onsendo.beppu-navi.jp/y216/,
,別府温泉 弓ヶ浜温泉,第217番 弓ヶ浜温泉,https://maps.app.goo.gl/gJzBo9pWUKMMb8Xg7?g_st=com.google.maps.preview.copy,別府市弓ヶ浜町4-33,なし,200円,6:00〜10:00　15:00〜22:30,第2・第4水曜日,なし,炭酸水素塩泉,富士見3丁目,別府駅11分,2台,,,https://onsendo.beppu-navi.jp/y217/,
,別府温泉 杜の湯リゾート,第218番 杜の湯リゾート,https://maps.app.goo.gl/FXsiwM9wDeTzgZCj7?g_st=com.google.maps.preview.copy,別府市鶴見照湯1413-13,0977-85-7000,"一泊朝食9,500～",IN15:00～OUT11:00,なし,なし,単純泉,照湯　1分,なし,30台,,http://morinoyu-resort.com/,https://onsendo.beppu-navi.jp/y218/,
,別府温泉 トキハ別府店足湯,第219番 トキハ別府店足湯,https://maps.app.goo.gl/PaYZLHJteK2pLNub7?g_st=com.google.maps.preview.copy,別府市北浜2丁目9番1号,0977-23-1111,無料,10：00 ～ 19：00,月数回メンテナンスあり（不定休）,なし,炭酸水素塩泉,別府北浜,別府駅8分,有料　立体510台・平面110台,,https://www.tokiwa-dept.co.jp/public/beppu/,https://onsendo.beppu-navi.jp/y219/,
,別府温泉 白蓮の湯,第220番 白蓮の湯,https://maps.app.goo.gl/9bHkY7mt5v7SMyk4A?g_st=com.google.maps.preview.copy,別府市青山町8-68,0977-75-8899,700円（貸切湯）,10：00～15：00,水・土曜日、日曜日,貸切湯のみ　要予約,単純泉,総合体育館前入口　徒歩２分,別府駅　徒歩20分,あり,白蓮資料館も開催中（入場料300円）あわせてマッサージも受けられるスペシャル温泉,,https://onsendo.beppu-navi.jp/y220/,
,別府温泉 湯山の里温泉,第221番 湯山の里温泉,https://maps.app.goo.gl/29DtwxfedQizh6Xq6?g_st=com.google.maps.preview.copy,別府市湯山４組,090-4988-4179,露天風呂　1人600円※　水着着用,9：00～日没まで,不定期,３名3000円,単純泉硫黄泉,湯山　２分,なし,15台,,,https://onsendo.beppu-navi.jp/y221/,
,別府温泉 別府鉄輪温泉やまなみの湯,第222番 別府鉄輪温泉やまなみの湯,https://maps.app.goo.gl/XTmwmFBGTUFNgk72A?g_st=com.google.maps.preview.copy,別府市北中7-2　ダイちゃんランド内,0977-67-4126,480円,12：00 ~ 翌8 : 40（月2回月曜日は15:00より開店）土日、祝日は24時間営業,なし,60分　2000円、2800円,アルカリ単純泉,砂原,別府大学駅　２０分,700台,,http://diamondgroup.co.jp/yamanaminoyu/beppu/,https://onsendo.beppu-navi.jp/y222/,
,別府温泉 文化の湯,第223番 文化の湯,https://maps.app.goo.gl/Xwu9YS9AmiakWKGXA?g_st=com.google.maps.preview.copy,別府市大字別府字野口原3030番地の16,0977-21-8289,中学生以上200円 小学生　100円 幼児以下無料,火曜～土曜日　　9：00～20：00日曜日・祝日9：00～16：00,月曜日、年末年始,なし,単純泉,ニューライフプラザ、ビーコンプラザ前,別府駅　19分,公共P利用,,https://www.city.beppu.oita.jp/sisetu/bunka_komyuniti/09community_09-09asubeppu_gaiyou.html#onsen,https://onsendo.beppu-navi.jp/y223/,
,別府温泉 ゆめひのきの湯大仏温泉,第224番 ゆめひのきの湯大仏温泉,https://maps.app.goo.gl/dW7iBoSwcCbw6AVG8?g_st=com.google.maps.preview.copy,別府市天満町4-6,070-1941-1126,碧の湯　大人（中学生以上）800円　子供400円茜の湯　大人（中学生以上）600円　子供300円貸切45分,11：30～17：30,不定休,貸切湯のみ　要予約,単純泉,富士見９丁目,別府駅　徒歩13分,3台,,https://select-type.com/p/yumehinoki/,https://onsendo.beppu-navi.jp/y224/,
,別府温泉 おやど湯の丘,第225番 おやど湯の丘,https://maps.app.goo.gl/DvUWyT68p9ZJeGgu6?g_st=com.google.maps.preview.copy,別府市小倉4-1,0977-21-2414,１室　2000円（４名まで）,10：00～20：00（１５時以降は要問合せ）,木曜日,貸切湯のみ　５,弱硫黄単純泉,ベネフィットフォー・ユー　徒歩２分,,15台,,https://hpdsp.jp/yunooka/,https://onsendo.beppu-navi.jp/y225/,
,別府温泉 亀川マリーナの湯,第226番 亀川マリーナの湯,https://maps.app.goo.gl/1hrsyzDWeBwXrjHo7?g_st=com.google.maps.preview.copy,別府市亀川東町20-45　亀川マリーナテラス１階,0977-85-7033,500円,10：00～15：00※最終受付 14:30,木曜日,なし,塩化物泉,弁天前,亀川駅　　1０分,40台,,http://kamegawa-marina.com/,https://onsendo.beppu-navi.jp/y226/,
,別府温泉 あるじ「RG」の温泉（足湯）,第227番 あるじ「RG」の温泉（足湯）,https://maps.app.goo.gl/c5o3bDeNiyMvT3yh7?g_st=com.google.maps.preview.copy,別府市鶴見実ノ屋敷1356-6,0977-66-8530,1000円以上の購入・利用（飲食・お土産・体験）された方のみ,10：00～17：00,月・水・金　※祝日の場合は営業,,硫黄泉,みょうばんクリニック　徒歩10分,,30台,,https://www.saravio.jp/tourism/,https://onsendo.beppu-navi.jp/y227/,
,別府温泉 旅館ちとせ,第228番 旅館ちとせ,https://maps.app.goo.gl/ANLUBe5SxtqbsjqD6?g_st=com.google.maps.preview.copy,別府市本町8-6,090-2968-8606,"宿泊者のみ　一人１泊3,000円（税込）",16:00～翌日10:00まで（ﾁｴｯｸｲﾝからﾁｪｯｸｱｳﾄまで）,不定休,貸切湯のみ　（１室）,炭酸水素塩泉,別府駅,別府駅　徒歩　5分,1台　500円,,,https://onsendo.beppu-navi.jp/y228/,
,別府温泉 水流見の湯（足湯）,第229番 水流見の湯（足湯）,https://maps.app.goo.gl/9fdqvYhMEYPoYY3D9?g_st=com.google.maps.preview.copy,別府市扇山１組-1,0977-85-8855,無料,11：00～14:00/17:30～21:00,火曜（祝日の場合は翌日）,なし,単純温泉,自衛隊前,なし,あり,,https://sumibi.co.jp/,https://onsendo.beppu-navi.jp/y229/,
,別府温泉 新光泉,第230番 新光泉,https://maps.app.goo.gl/a8pKAmjD3MY9sJqM7?g_st=com.google.maps.preview.copy,別府市中島町14-14,なし,小学生以上　市外300円　市内200円,12：00～16：00,不定休,,単純泉,流川１２丁目,別府駅　徒歩　15分,なし,,,https://onsendo.beppu-navi.jp/y230/,
